DATE,AAPL,META,MSFT,GOOG,AMZN,MKT,SMB,HML,RF,WINDOW,LAAPL,LMETA,LMSFT,LGOOG,LAMZN,RAAPL,RMETA,RMSFT,RGOOG,RAMZN,ERAAPL,ERMETA,ERMSFT,ERGOOG,ERAMZN
12/11/2018,46.653,141.550003,101.046906,51.931499,81.842499,-2.06,0.01,0.85,0.008,0,1.668879576,2.150909883,2.00452302,1.715430859,1.912978882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/11/2018,46.186871,142.160004,101.113106,51.802502,81.558502,-0.13,-0.11,0.16,0.008,0,1.664518541,2.152777427,2.004807451,1.714350736,1.91146924,-0.436103479,0.186754411,0.028443108,-0.10801225,-0.150964135,-0.444103479,0.178754411,0.020443108,-0.11601225,-0.158964135
14/11/2018,44.882221,144.220001,99.679199,52.182999,79.9505,-0.77,0.03,-0.29,0.008,0,1.65207434,2.159025494,1.998604539,1.717529035,1.902821184,-1.244420143,0.624806722,-0.620291185,0.317829858,-0.86480563,-1.252420143,0.616806722,-0.628291185,0.309829858,-0.87280563
15/11/2018,45.989857,143.850006,101.872787,53.2355,80.972,1.18,0.36,-0.41,0.008,0,1.662662059,2.157909884,2.008058188,1.726201337,1.908334866,1.058771931,-0.11156099,0.945364816,0.867230267,0.551368233,1.050771931,-0.11956099,0.937364816,0.859230267,0.543368233
16/11/2018,46.499229,139.529999,102.831879,53.074501,79.670502,0.15,0.02,-0.05,0.008,0,1.667445752,2.144667591,2.012127772,1.72488592,1.901297554,0.478369276,-1.324229322,0.406958394,-0.131541774,-0.703731279,0.470369276,-1.332229322,0.398958394,-0.139541774,-0.711731279
19/11/2018,44.656361,131.550003,99.346855,51,75.614502,-1.88,-0.73,2.3,0.008,0,1.64988333,2.119090862,1.997154123,1.707570176,1.878605096,-1.756242197,-2.557672879,-1.497364824,-1.731574358,-2.269245742,-1.764242197,-2.565672879,-1.505364824,-1.739574358,-2.277245742
20/11/2018,42.522778,132.429993,96.583511,51.287998,74.773003,-1.85,0.14,-0.53,0.008,0,1.628621629,2.121986356,1.984902989,1.710015747,1.873744823,-2.126170087,0.289549377,-1.22511345,0.244557084,-0.486027328,-2.134170087,0.281549377,-1.23311345,0.236557084,-0.494027328
21/11/2018,42.474728,134.820007,97.912964,51.880501,75.836502,0.51,0.98,-0.34,0.008,0,1.628130606,2.129754345,1.990840198,1.715004161,1.879878293,-0.049102269,0.776798926,0.593720883,0.498841439,0.613346978,-0.057102269,0.768798926,0.585720883,0.490841439,0.605346978
23/11/2018,41.39592,131.729996,97.874969,51.194,75.102997,-0.55,0.83,-0.59,0.008,0,1.616957539,2.119684679,1.990671638,1.709219064,1.875657268,-1.117306744,-1.006966672,-0.016856012,-0.578509722,-0.422102476,-1.125306744,-1.014966672,-0.024856012,-0.586509722,-0.430102476
26/11/2018,41.955742,136.380005,101.103615,52.431,79.066498,1.62,-0.66,-0.2,0.008,0,1.622791406,2.134750702,2.004766684,1.719588141,1.897992504,0.583386715,1.506602339,1.409504673,1.036907685,2.233523557,0.575386715,1.498602339,1.401504673,1.028907685,2.225523557
27/11/2018,41.864445,135,101.739838,52.220501,79.070999,0.11,-1.09,0.26,0.008,0,1.621845338,2.130333768,2.007491042,1.717841034,1.898017226,-0.094606802,-0.441693354,0.272435753,-0.174710686,0.002472228,-0.102606802,-0.449693354,0.264435753,-0.182710686,-0.005527772
28/11/2018,43.474239,136.759995,105.519226,54.311501,83.887497,2.42,0.45,-1.16,0.008,0,1.638231989,2.135959076,2.023331597,1.734891805,1.923697236,1.638665047,0.562530775,1.584055516,1.70507714,2.568001049,1.630665047,0.554530775,1.576055516,1.69707714,2.560001049
29/11/2018,43.140274,138.679993,104.636116,54.415001,83.678497,-0.22,-0.1,-0.1,0.008,0,1.634882899,2.142013811,2.019681611,1.735718641,1.922613871,-0.334908944,0.605473482,-0.364998628,0.082683599,-0.108336533,-0.342908944,0.597473482,-0.372998628,0.074683599,-0.116336533
30/11/2018,42.907207,140.610001,105.300827,54.7215,84.508499,0.78,-0.33,-0.43,0.008,0,1.632530246,2.148016211,2.022431782,1.738157994,1.926900388,-0.235265364,0.600240027,0.275017136,0.243935206,0.428651707,-0.243265364,0.592240027,0.267017136,0.235935206,0.420651707
03/12/2018,44.406494,141.089996,106.440353,55.321499,88.617996,1.13,-0.05,-0.8,0.011,0,1.647446486,2.149496221,2.027106306,1.742893939,1.947521925,1.491624042,0.148000982,0.467452417,0.473594576,2.062153667,1.480624042,0.137000982,0.456452417,0.462594576,2.051153667
04/12/2018,42.453098,137.929993,103.050285,52.541,83.419998,-3.45,-0.97,-0.21,0.011,0,1.627909388,2.139658714,2.013049197,1.720498334,1.921270175,-1.95370977,-0.983750699,-1.405710896,-2.239560496,-2.625174961,-1.96470977,-0.994750699,-1.416710896,-2.250560496,-2.636174961
06/12/2018,41.979771,139.630005,103.686485,53.436501,84.959503,-0.16,0.14,-1.05,0.011,0,1.623040065,2.144978754,2.015722152,1.727838013,1.929211963,-0.486932305,0.53200394,0.267295481,0.733967863,0.794178809,-0.497932305,0.52100394,0.256295481,0.722967863,0.783178809
07/12/2018,40.482895,137.419998,99.536758,51.828999,81.456497,-2.36,0.2,1.32,0.011,0,1.607271562,2.138049938,1.997983491,1.714572821,1.91092573,-1.57685031,-0.692881569,-1.773866074,-1.326519181,-1.828623368,-1.58785031,-0.703881569,-1.784866074,-1.337519181,-1.839623368
10/12/2018,40.749599,141.850006,102.16716,51.977501,82.051498,0.1,-0.11,-1.62,0.011,0,1.610123339,2.151829359,2.009311321,1.715815395,1.914086514,0.285177731,1.377942062,1.132782993,0.124257427,0.316078479,0.274177731,1.366942062,1.121782993,0.113257427,0.305078479
11/12/2018,40.516533,142.080002,103.116753,52.587502,82.162003,-0.08,-0.05,-0.4,0.011,0,1.607632276,2.152532955,2.013329229,1.720882542,1.914671018,-0.249106369,0.070359605,0.401790803,0.50671461,0.058450394,-0.260106369,0.059359605,0.390790803,0.49571461,0.047450394
